Time (hr:min:sec),Time (s),GSR,Resistance,Conductance (uS),Heart_Rate,HRV,Section,Stressed
09:43:57,3006,379,133984.96240601502,7.463524130190797,80,750.0,rory_lab_8,4
09:43:58,3007,379,133984.96240601502,7.463524130190797,63,952.3809523809524,rory_lab_8,4
09:43:59,3008,379,133984.96240601502,7.463524130190797,63,952.3809523809524,rory_lab_8,4
09:44:00,3009,379,133984.96240601502,7.463524130190797,63,952.3809523809524,rory_lab_8,6
09:44:01,3010,379,133984.96240601502,7.463524130190797,76,789.4736842105264,rory_lab_8,6
09:44:02,3011,380,135151.51515151517,7.3991031390134525,76,789.4736842105264,rory_lab_8,6
09:44:03,3012,379,133984.96240601502,7.463524130190797,74,810.8108108108108,rory_lab_8,6
09:44:04,3013,379,133984.96240601502,7.463524130190797,74,810.8108108108108,rory_lab_8,6
09:44:05,3014,379,133984.96240601502,7.463524130190797,74,810.8108108108108,rory_lab_8,6
09:44:06,3015,379,133984.96240601502,7.463524130190797,74,810.8108108108108,rory_lab_8,6
09:44:07,3016,380,135151.51515151517,7.3991031390134525,74,810.8108108108108,rory_lab_8,6
09:44:08,3017,378,132835.8208955224,7.528089887640449,74,810.8108108108108,rory_lab_8,5
09:44:09,3018,375,129489.0510948905,7.722660653889515,74,810.8108108108108,rory_lab_8,5
09:44:10,3019,373,127338.12949640288,7.853107344632768,74,810.8108108108108,rory_lab_8,5
09:44:11,3020,368,122222.22222222222,8.181818181818182,74,810.8108108108108,rory_lab_8,5
09:44:13,3021,366,120273.97260273971,8.314350797266515,74,810.8108108108108,rory_lab_8,5
09:44:14,3022,367,121241.37931034483,8.248009101251423,74,810.8108108108108,rory_lab_8,5
09:44:15,3023,368,122222.22222222222,8.181818181818182,74,810.8108108108108,rory_lab_8,5
09:44:16,3024,368,122222.22222222222,8.181818181818182,72,833.3333333333334,rory_lab_8,5
09:44:17,3025,368,122222.22222222222,8.181818181818182,72,833.3333333333334,rory_lab_8,5
09:44:18,3026,369,123216.78321678322,8.115777525539158,72,833.3333333333334,rory_lab_8,2
09:44:19,3027,370,124225.35211267606,8.049886621315194,77,779.2207792207793,rory_lab_8,4
09:44:20,3028,370,124225.35211267606,8.049886621315194,77,779.2207792207793,rory_lab_8,5
09:44:21,3029,371,125248.22695035461,7.984144960362401,77,779.2207792207793,rory_lab_8,4
09:44:22,3030,371,125248.22695035461,7.984144960362401,77,779.2207792207793,rory_lab_8,4
09:44:23,3031,370,124225.35211267606,8.049886621315194,74,810.8108108108108,rory_lab_8,2
09:44:24,3032,371,125248.22695035461,7.984144960362401,74,810.8108108108108,rory_lab_8,2
09:44:25,3033,371,125248.22695035461,7.984144960362401,74,810.8108108108108,rory_lab_8,2
09:44:26,3034,372,126285.71428571428,7.918552036199096,74,810.8108108108108,rory_lab_8,2
09:44:27,3035,371,125248.22695035461,7.984144960362401,63,952.3809523809524,rory_lab_8,6
09:44:28,3036,372,126285.71428571428,7.918552036199096,65,923.0769230769231,rory_lab_8,2
09:44:29,3037,372,126285.71428571428,7.918552036199096,67,895.5223880597015,rory_lab_8,2
09:44:30,3038,372,126285.71428571428,7.918552036199096,66,909.0909090909091,rory_lab_8,2
09:44:31,3039,372,126285.71428571428,7.918552036199096,66,909.0909090909091,rory_lab_8,2
09:44:32,3040,372,126285.71428571428,7.918552036199096,60,1000.0,rory_lab_8,2
09:44:33,3041,373,127338.12949640288,7.853107344632768,57,1052.6315789473683,rory_lab_8,2
09:44:34,3042,372,126285.71428571428,7.918552036199096,56,1071.4285714285713,rory_lab_8,2
09:44:35,3043,373,127338.12949640288,7.853107344632768,56,1071.4285714285713,rory_lab_8,3
09:44:36,3044,373,127338.12949640288,7.853107344632768,57,1052.6315789473683,rory_lab_8,3
09:44:37,3045,374,128405.79710144928,7.787810383747178,56,1071.4285714285713,rory_lab_8,3
09:44:38,3046,373,127338.12949640288,7.853107344632768,56,1071.4285714285713,rory_lab_8,3
09:44:39,3047,372,126285.71428571428,7.918552036199096,54,1111.111111111111,rory_lab_8,3
09:44:40,3048,374,128405.79710144928,7.787810383747178,57,1052.6315789473683,rory_lab_8,3
09:44:41,3049,374,128405.79710144928,7.787810383747178,57,1052.6315789473683,rory_lab_8,3
09:44:42,3050,374,128405.79710144928,7.787810383747178,54,1111.111111111111,rory_lab_8,3
09:44:43,3051,374,128405.79710144928,7.787810383747178,57,1052.6315789473683,rory_lab_8,3
09:44:44,3052,374,128405.79710144928,7.787810383747178,57,1052.6315789473683,rory_lab_8,3
09:44:45,3053,374,128405.79710144928,7.787810383747178,54,1111.111111111111,rory_lab_8,3
09:44:46,3054,375,129489.0510948905,7.722660653889515,54,1111.111111111111,rory_lab_8,3
09:44:47,3055,375,129489.0510948905,7.722660653889515,56,1071.4285714285713,rory_lab_8,3
09:44:48,3056,375,129489.0510948905,7.722660653889515,56,1071.4285714285713,rory_lab_8,3
09:44:49,3057,375,129489.0510948905,7.722660653889515,55,1090.909090909091,rory_lab_8,3
09:44:50,3058,375,129489.0510948905,7.722660653889515,56,1071.4285714285713,rory_lab_8,3
09:44:51,3059,375,129489.0510948905,7.722660653889515,55,1090.909090909091,rory_lab_8,3
09:44:52,3060,375,129489.0510948905,7.722660653889515,55,1090.909090909091,rory_lab_8,3
09:44:53,3061,375,129489.0510948905,7.722660653889515,55,1090.909090909091,rory_lab_8,3
09:44:54,3062,374,128405.79710144928,7.787810383747178,55,1090.909090909091,rory_lab_8,3
09:44:55,3063,372,126285.71428571428,7.918552036199096,55,1090.909090909091,rory_lab_8,3
09:44:57,3064,372,126285.71428571428,7.918552036199096,55,1090.909090909091,rory_lab_8,3
09:44:58,3065,371,125248.22695035461,7.984144960362401,55,1090.909090909091,rory_lab_8,3
09:44:59,3066,371,125248.22695035461,7.984144960362401,55,1090.909090909091,rory_lab_8,3
09:45:00,3067,371,125248.22695035461,7.984144960362401,55,1090.909090909091,rory_lab_8,3
09:45:01,3068,370,124225.35211267606,8.049886621315194,55,1090.909090909091,rory_lab_8,3
09:45:02,3069,369,123216.78321678322,8.115777525539158,55,1090.909090909091,rory_lab_8,3
09:45:03,3070,367,121241.37931034483,8.248009101251423,55,1090.909090909091,rory_lab_8,3
09:45:04,3071,365,119319.72789115646,8.38084378563284,55,1090.909090909091,rory_lab_8,3
09:45:05,3072,364,118378.37837837839,8.447488584474886,55,1090.909090909091,rory_lab_8,3
09:45:06,3073,363,117449.6644295302,8.514285714285714,55,1090.909090909091,rory_lab_8,3
09:45:07,3074,364,118378.37837837839,8.447488584474886,55,1090.909090909091,rory_lab_8,3
09:45:08,3075,364,118378.37837837839,8.447488584474886,55,1090.909090909091,rory_lab_8,3
09:45:09,3076,362,116533.33333333334,8.581235697940503,55,1090.909090909091,rory_lab_8,3
09:45:10,3077,365,119319.72789115646,8.38084378563284,55,1090.909090909091,rory_lab_8,3
09:45:11,3078,366,120273.97260273971,8.314350797266515,56,1071.4285714285713,rory_lab_8,3
09:45:12,3079,366,120273.97260273971,8.314350797266515,63,952.3809523809524,rory_lab_8,3
09:45:13,3080,366,120273.97260273971,8.314350797266515,66,909.0909090909091,rory_lab_8,3
09:45:14,3081,366,120273.97260273971,8.314350797266515,66,909.0909090909091,rory_lab_8,3
09:45:15,3082,366,120273.97260273971,8.314350797266515,66,909.0909090909091,rory_lab_8,3
09:45:16,3083,367,121241.37931034483,8.248009101251423,66,909.0909090909091,rory_lab_8,3
09:45:17,3084,366,120273.97260273971,8.314350797266515,66,909.0909090909091,rory_lab_8,3
09:45:18,3085,367,121241.37931034483,8.248009101251423,67,895.5223880597015,rory_lab_8,3
09:45:19,3086,367,121241.37931034483,8.248009101251423,67,895.5223880597015,rory_lab_8,3
09:45:20,3087,368,122222.22222222222,8.181818181818182,61,983.6065573770492,rory_lab_8,3
09:45:21,3088,368,122222.22222222222,8.181818181818182,61,983.6065573770492,rory_lab_8,3
09:45:22,3089,367,121241.37931034483,8.248009101251423,63,952.3809523809524,rory_lab_8,3
09:45:23,3090,369,123216.78321678322,8.115777525539158,61,983.6065573770492,rory_lab_8,3
09:45:24,3091,368,122222.22222222222,8.181818181818182,61,983.6065573770492,rory_lab_8,3
09:45:25,3092,369,123216.78321678322,8.115777525539158,61,983.6065573770492,rory_lab_8,3
09:45:26,3093,369,123216.78321678322,8.115777525539158,61,983.6065573770492,rory_lab_8,3
09:45:27,3094,368,122222.22222222222,8.181818181818182,64,937.5,rory_lab_8,3
09:45:28,3095,369,123216.78321678322,8.115777525539158,64,937.5,rory_lab_8,3
09:45:29,3096,369,123216.78321678322,8.115777525539158,63,952.3809523809524,rory_lab_8,3
09:45:30,3097,370,124225.35211267606,8.049886621315194,63,952.3809523809524,rory_lab_8,3
09:45:31,3098,370,124225.35211267606,8.049886621315194,63,952.3809523809524,rory_lab_8,3
09:45:32,3099,370,124225.35211267606,8.049886621315194,64,937.5,rory_lab_8,3
09:45:33,3100,370,124225.35211267606,8.049886621315194,64,937.5,rory_lab_8,3
09:45:34,3101,370,124225.35211267606,8.049886621315194,64,937.5,rory_lab_8,3
09:45:35,3102,370,124225.35211267606,8.049886621315194,64,937.5,rory_lab_8,3
09:45:36,3103,371,125248.22695035461,7.984144960362401,64,937.5,rory_lab_8,3
09:45:37,3104,370,124225.35211267606,8.049886621315194,64,937.5,rory_lab_8,3
09:45:38,3105,371,125248.22695035461,7.984144960362401,64,937.5,rory_lab_8,3
09:45:39,3106,371,125248.22695035461,7.984144960362401,68,882.3529411764706,rory_lab_8,3
09:45:40,3107,372,126285.71428571428,7.918552036199096,68,882.3529411764706,rory_lab_8,3
