Time (s),Serial data,Resistance
610,78,27188.9400921659
611,78,27188.9400921659
612,77,27080.459770114943
613,78,27188.9400921659
614,78,27188.9400921659
615,78,27188.9400921659
616,78,27188.9400921659
617,80,27407.40740740741
618,79,27297.921478060045
619,79,27297.921478060045
620,79,27297.921478060045
621,79,27297.921478060045
622,79,27297.921478060045
623,79,27297.921478060045
624,80,27407.40740740741
625,80,27407.40740740741
626,79,27297.921478060045
627,81,27517.401392111366
628,80,27407.40740740741
629,81,27517.401392111366
630,80,27407.40740740741
631,79,27297.921478060045
632,79,27297.921478060045
633,79,27297.921478060045
634,80,27407.40740740741
635,81,27517.401392111366
636,81,27517.401392111366
637,81,27517.401392111366
638,81,27517.401392111366
639,81,27517.401392111366
640,81,27517.401392111366
641,82,27627.906976744187
642,82,27627.906976744187
643,82,27627.906976744187
644,82,27627.906976744187
645,82,27627.906976744187
646,83,27738.927738927738
647,82,27627.906976744187
648,84,27850.46728971963
649,83,27738.927738927738
650,83,27738.927738927738
651,82,27627.906976744187
652,83,27738.927738927738
653,82,27627.906976744187
654,84,27850.46728971963
655,84,27850.46728971963
656,83,27738.927738927738
657,84,27850.46728971963
658,83,27738.927738927738
659,83,27738.927738927738
660,83,27738.927738927738
661,83,27738.927738927738
662,84,27850.46728971963
663,84,27850.46728971963
664,84,27850.46728971963
665,87,28188.235294117647
666,85,27962.529274004683
667,84,27850.46728971963
668,83,27738.927738927738
669,83,27738.927738927738
670,83,27738.927738927738
671,83,27738.927738927738
672,82,27627.906976744187
673,82,27627.906976744187
674,81,27517.401392111366
675,82,27627.906976744187
676,83,27738.927738927738
677,82,27627.906976744187
678,83,27738.927738927738
679,84,27850.46728971963
680,81,27517.401392111366
681,79,27297.921478060045
682,80,27407.40740740741
683,79,27297.921478060045
684,79,27297.921478060045
685,79,27297.921478060045
686,79,27297.921478060045
687,81,27517.401392111366
688,81,27517.401392111366
689,81,27517.401392111366
690,82,27627.906976744187
691,84,27850.46728971963
692,82,27627.906976744187
693,82,27627.906976744187
694,83,27738.927738927738
695,83,27738.927738927738
696,83,27738.927738927738
697,83,27738.927738927738
698,84,27850.46728971963
699,84,27850.46728971963
700,84,27850.46728971963
701,84,27850.46728971963
702,84,27850.46728971963
703,85,27962.529274004683
704,87,28188.235294117647
705,85,27962.529274004683
706,87,28188.235294117647
707,87,28188.235294117647
708,84,27850.46728971963
709,82,27627.906976744187
710,81,27517.401392111366
711,82,27627.906976744187
712,80,27407.40740740741
713,79,27297.921478060045
714,78,27188.9400921659
715,78,27188.9400921659
716,79,27297.921478060045
717,79,27297.921478060045
718,76,26972.47706422018
719,77,27080.459770114943
720,77,27080.459770114943
721,77,27080.459770114943
722,78,27188.9400921659
723,79,27297.921478060045
724,79,27297.921478060045
725,78,27188.9400921659
726,79,27297.921478060045
727,79,27297.921478060045
728,76,26972.47706422018
729,74,26757.99086757991
730,70,26334.841628959275
731,71,26439.909297052156
732,71,26439.909297052156
733,73,26651.48063781321
734,73,26651.48063781321
735,74,26757.99086757991
736,75,26864.988558352405
737,76,26972.47706422018
738,75,26864.988558352405
739,76,26972.47706422018
740,76,26972.47706422018
741,76,26972.47706422018
742,76,26972.47706422018
743,80,27407.40740740741
744,79,27297.921478060045
745,78,27188.9400921659
746,75,26864.988558352405
747,74,26757.99086757991
748,75,26864.988558352405
749,75,26864.988558352405
750,77,27080.459770114943
751,78,27188.9400921659
752,78,27188.9400921659
753,78,27188.9400921659
