Time (s),Serial data,Resistance
1,69,26230.248306997742
2,69,26230.248306997742
3,70,26334.841628959275
4,71,26439.909297052156
5,70,26334.841628959275
6,70,26334.841628959275
7,70,26334.841628959275
8,71,26439.909297052156
9,70,26334.841628959275
10,73,26651.48063781321
11,72,26545.454545454548
12,71,26439.909297052156
13,71,26439.909297052156
14,72,26545.454545454548
15,74,26757.99086757991
16,72,26545.454545454548
17,72,26545.454545454548
18,72,26545.454545454548
19,72,26545.454545454548
20,73,26651.48063781321
21,73,26651.48063781321
22,73,26651.48063781321
23,73,26651.48063781321
24,73,26651.48063781321
25,72,26545.454545454548
26,73,26651.48063781321
27,72,26545.454545454548
28,71,26439.909297052156
29,73,26651.48063781321
30,73,26651.48063781321
31,74,26757.99086757991
32,74,26757.99086757991
33,73,26651.48063781321
34,73,26651.48063781321
35,74,26757.99086757991
36,75,26864.988558352405
37,74,26757.99086757991
38,76,26972.47706422018
39,73,26651.48063781321
40,74,26757.99086757991
41,73,26651.48063781321
42,74,26757.99086757991
43,76,26972.47706422018
44,76,26972.47706422018
45,75,26864.988558352405
46,74,26757.99086757991
47,76,26972.47706422018
48,77,27080.459770114943
49,75,26864.988558352405
50,76,26972.47706422018
51,77,27080.459770114943
52,73,26651.48063781321
53,74,26757.99086757991
54,73,26651.48063781321
55,73,26651.48063781321
56,76,26972.47706422018
57,75,26864.988558352405
58,75,26864.988558352405
59,75,26864.988558352405
60,74,26757.99086757991
61,75,26864.988558352405
62,75,26864.988558352405
63,75,26864.988558352405
64,77,27080.459770114943
65,76,26972.47706422018
66,76,26972.47706422018
67,76,26972.47706422018
68,76,26972.47706422018
69,74,26757.99086757991
70,69,26230.248306997742
71,68,26126.126126126124
72,67,26022.47191011236
73,70,26334.841628959275
74,71,26439.909297052156
75,71,26439.909297052156
76,72,26545.454545454548
77,71,26439.909297052156
78,73,26651.48063781321
79,72,26545.454545454548
80,70,26334.841628959275
81,70,26334.841628959275
82,71,26439.909297052156
83,72,26545.454545454548
84,73,26651.48063781321
85,72,26545.454545454548
86,74,26757.99086757991
87,71,26439.909297052156
88,72,26545.454545454548
89,73,26651.48063781321
90,72,26545.454545454548
91,73,26651.48063781321
92,74,26757.99086757991
93,74,26757.99086757991
94,74,26757.99086757991
95,74,26757.99086757991
96,74,26757.99086757991
97,75,26864.988558352405
98,75,26864.988558352405
99,76,26972.47706422018
100,75,26864.988558352405
101,75,26864.988558352405
102,76,26972.47706422018
103,76,26972.47706422018
104,76,26972.47706422018
105,77,27080.459770114943
106,77,27080.459770114943
107,77,27080.459770114943
108,76,26972.47706422018
109,77,27080.459770114943
110,78,27188.9400921659
111,78,27188.9400921659
112,78,27188.9400921659
113,78,27188.9400921659
114,79,27297.921478060045
115,79,27297.921478060045
116,78,27188.9400921659
117,79,27297.921478060045
118,78,27188.9400921659
119,78,27188.9400921659
120,77,27080.459770114943
121,77,27080.459770114943
122,77,27080.459770114943
123,76,26972.47706422018
124,77,27080.459770114943
125,78,27188.9400921659
126,77,27080.459770114943
127,78,27188.9400921659
128,77,27080.459770114943
129,78,27188.9400921659
130,76,26972.47706422018
131,78,27188.9400921659
132,77,27080.459770114943
133,75,26864.988558352405
134,71,26439.909297052156
135,68,26126.126126126124
136,68,26126.126126126124
137,70,26334.841628959275
138,71,26439.909297052156
139,71,26439.909297052156
140,73,26651.48063781321
141,73,26651.48063781321
142,73,26651.48063781321
143,71,26439.909297052156
144,70,26334.841628959275
145,72,26545.454545454548
146,72,26545.454545454548
147,72,26545.454545454548
148,73,26651.48063781321
149,74,26757.99086757991
150,75,26864.988558352405
151,74,26757.99086757991
152,74,26757.99086757991
153,74,26757.99086757991
154,74,26757.99086757991
155,76,26972.47706422018
156,72,26545.454545454548
157,73,26651.48063781321
158,74,26757.99086757991
159,75,26864.988558352405
160,71,26439.909297052156
161,70,26334.841628959275
162,72,26545.454545454548
163,69,26230.248306997742
164,65,25816.5548098434
165,63,25612.472160356345
166,62,25511.11111111111
167,63,25612.472160356345
168,64,25714.285714285717
169,65,25816.5548098434
170,64,25714.285714285717
171,66,25919.28251121076
172,69,26230.248306997742
173,66,25919.28251121076
174,66,25919.28251121076
175,66,25919.28251121076
176,67,26022.47191011236
177,68,26126.126126126124
178,67,26022.47191011236
179,67,26022.47191011236
180,67,26022.47191011236
181,66,25919.28251121076
182,67,26022.47191011236
183,68,26126.126126126124
184,67,26022.47191011236
185,68,26126.126126126124
186,68,26126.126126126124
187,67,26022.47191011236
188,62,25511.11111111111
189,63,25612.472160356345
190,62,25511.11111111111
191,61,25410.19955654102
192,61,25410.19955654102
193,63,25612.472160356345
194,64,25714.285714285717
195,65,25816.5548098434
196,67,26022.47191011236
197,66,25919.28251121076
198,66,25919.28251121076
199,67,26022.47191011236
200,66,25919.28251121076
201,67,26022.47191011236
202,64,25714.285714285717
203,63,25612.472160356345
204,62,25511.11111111111
205,65,25816.5548098434
206,64,25714.285714285717
207,63,25612.472160356345
208,64,25714.285714285717
209,67,26022.47191011236
210,65,25816.5548098434
211,66,25919.28251121076
212,66,25919.28251121076
213,66,25919.28251121076
214,67,26022.47191011236
215,67,26022.47191011236
216,67,26022.47191011236
217,67,26022.47191011236
218,68,26126.126126126124
219,67,26022.47191011236
220,67,26022.47191011236
221,68,26126.126126126124
222,69,26230.248306997742
223,69,26230.248306997742
224,69,26230.248306997742
225,69,26230.248306997742
226,68,26126.126126126124
227,68,26126.126126126124
228,68,26126.126126126124
229,69,26230.248306997742
230,69,26230.248306997742
231,70,26334.841628959275
232,70,26334.841628959275
233,70,26334.841628959275
234,72,26545.454545454548
235,71,26439.909297052156
236,70,26334.841628959275
237,72,26545.454545454548
238,68,26126.126126126124
239,67,26022.47191011236
240,65,25816.5548098434
241,66,25919.28251121076
242,67,26022.47191011236
243,67,26022.47191011236
244,68,26126.126126126124
245,67,26022.47191011236
246,67,26022.47191011236
247,66,25919.28251121076
248,67,26022.47191011236
249,67,26022.47191011236
250,70,26334.841628959275
251,69,26230.248306997742
252,69,26230.248306997742
253,70,26334.841628959275
254,70,26334.841628959275
255,70,26334.841628959275
256,67,26022.47191011236
257,66,25919.28251121076
258,66,25919.28251121076
259,67,26022.47191011236
260,80,27407.40740740741
261,77,27080.459770114943
262,67,26022.47191011236
263,65,25816.5548098434
