Time (s),Serial data,Resistance
433,373,127338.12949640288
434,373,127338.12949640288
435,373,127338.12949640288
436,371,125248.22695035461
437,374,128405.79710144928
438,374,128405.79710144928
439,374,128405.79710144928
440,376,130588.23529411765
441,374,128405.79710144928
442,373,127338.12949640288
443,374,128405.79710144928
444,375,129489.0510948905
445,374,128405.79710144928
446,374,128405.79710144928
447,374,128405.79710144928
448,373,127338.12949640288
449,374,128405.79710144928
450,374,128405.79710144928
451,374,128405.79710144928
452,374,128405.79710144928
453,374,128405.79710144928
454,375,129489.0510948905
455,373,127338.12949640288
456,376,130588.23529411765
457,374,128405.79710144928
458,374,128405.79710144928
459,375,129489.0510948905
460,373,127338.12949640288
461,374,128405.79710144928
462,374,128405.79710144928
463,374,128405.79710144928
464,374,128405.79710144928
465,374,128405.79710144928
466,374,128405.79710144928
467,375,129489.0510948905
468,374,128405.79710144928
469,374,128405.79710144928
470,373,127338.12949640288
471,375,129489.0510948905
472,374,128405.79710144928
473,374,128405.79710144928
474,373,127338.12949640288
475,373,127338.12949640288
476,371,125248.22695035461
477,378,132835.8208955224
478,376,130588.23529411765
479,376,130588.23529411765
480,376,130588.23529411765
481,377,131703.7037037037
482,379,133984.96240601502
483,376,130588.23529411765
484,376,130588.23529411765
485,377,131703.7037037037
486,378,132835.8208955224
487,374,128405.79710144928
488,374,128405.79710144928
489,372,126285.71428571428
490,373,127338.12949640288
491,372,126285.71428571428
492,372,126285.71428571428
493,372,126285.71428571428
494,372,126285.71428571428
495,373,127338.12949640288
496,372,126285.71428571428
497,371,125248.22695035461
498,372,126285.71428571428
499,371,125248.22695035461
500,371,125248.22695035461
501,371,125248.22695035461
502,370,124225.35211267606
503,371,125248.22695035461
504,371,125248.22695035461
505,371,125248.22695035461
506,371,125248.22695035461
507,373,127338.12949640288
508,372,126285.71428571428
509,372,126285.71428571428
510,373,127338.12949640288
511,372,126285.71428571428
512,373,127338.12949640288
513,373,127338.12949640288
514,374,128405.79710144928
515,374,128405.79710144928
516,375,129489.0510948905
517,377,131703.7037037037
518,378,132835.8208955224
519,378,132835.8208955224
520,379,133984.96240601502
521,379,133984.96240601502
522,381,136335.8778625954
523,381,136335.8778625954
524,382,137538.46153846156
525,383,138759.6899224806
526,383,138759.6899224806
527,385,141259.84251968504
