Time (s),Serial data,Resistance
1,146,35956.284153005465
2,146,35956.284153005465
3,147,36109.58904109589
4,147,36109.58904109589
5,147,36109.58904109589
6,147,36109.58904109589
7,147,36109.58904109589
8,147,36109.58904109589
9,147,36109.58904109589
10,146,35956.284153005465
11,147,36109.58904109589
12,146,35956.284153005465
13,147,36109.58904109589
14,147,36109.58904109589
15,147,36109.58904109589
16,146,35956.284153005465
17,147,36109.58904109589
18,147,36109.58904109589
19,147,36109.58904109589
20,147,36109.58904109589
21,147,36109.58904109589
22,148,36263.73626373626
23,147,36109.58904109589
24,147,36109.58904109589
25,146,35956.284153005465
26,148,36263.73626373626
27,147,36109.58904109589
28,147,36109.58904109589
29,148,36263.73626373626
30,147,36109.58904109589
31,147,36109.58904109589
32,148,36263.73626373626
33,148,36263.73626373626
34,149,36418.732782369145
35,148,36263.73626373626
36,149,36418.732782369145
37,148,36263.73626373626
38,148,36263.73626373626
39,150,36574.585635359115
40,152,36888.88888888889
41,149,36418.732782369145
42,150,36574.585635359115
43,149,36418.732782369145
44,149,36418.732782369145
45,147,36109.58904109589
46,149,36418.732782369145
47,150,36574.585635359115
48,149,36418.732782369145
49,149,36418.732782369145
50,148,36263.73626373626
51,145,35803.814713896456
52,142,35351.35135135135
53,144,35652.17391304348
54,140,35053.76344086022
55,141,35202.156334231804
56,142,35351.35135135135
57,142,35351.35135135135
58,143,35501.355013550135
59,143,35501.355013550135
60,144,35652.17391304348
61,142,35351.35135135135
62,140,35053.76344086022
63,140,35053.76344086022
64,143,35501.355013550135
65,165,39020.172910662826
66,154,37206.703910614524
67,156,37528.089887640446
68,133,34036.93931398417
69,130,33612.56544502618
70,125,32919.89664082687
71,121,32378.51662404092
72,115,31586.90176322418
73,111,31072.31920199501
74,108,30693.069306930694
75,112,31200.0
76,113,31328.320802005015
77,114,31457.286432160803
78,113,31328.320802005015
79,115,31586.90176322418
80,113,31328.320802005015
81,116,31717.171717171717
82,116,31717.171717171717
83,116,31717.171717171717
84,118,31979.695431472082
85,117,31848.101265822785
86,118,31979.695431472082
87,119,32111.959287531805
88,123,32647.814910025707
89,125,32919.89664082687
90,134,34179.89417989418
91,118,31979.695431472082
92,121,32378.51662404092
93,125,32919.89664082687
94,126,33056.99481865285
95,127,33194.805194805194
96,129,33472.58485639687
97,128,33333.333333333336
98,128,33333.333333333336
99,128,33333.333333333336
100,115,31586.90176322418
101,114,31457.286432160803
102,110,30945.273631840795
103,104,30196.07843137255
104,105,30319.41031941032
105,126,33056.99481865285
106,124,32783.50515463918
107,95,29112.709832134293
108,100,29708.73786407767
109,102,29951.219512195123
110,101,29829.683698296838
111,101,29829.683698296838
112,107,30567.9012345679
113,121,32378.51662404092
114,115,31586.90176322418
115,110,30945.273631840795
116,112,31200.0
117,112,31200.0
118,114,31457.286432160803
119,114,31457.286432160803
120,115,31586.90176322418
121,112,31200.0
122,115,31586.90176322418
123,119,32111.959287531805
124,119,32111.959287531805
125,115,31586.90176322418
126,113,31328.320802005015
127,114,31457.286432160803
128,113,31328.320802005015
129,119,32111.959287531805
130,117,31848.101265822785
131,118,31979.695431472082
132,120,32244.897959183672
133,118,31979.695431472082
134,113,31328.320802005015
135,114,31457.286432160803
136,114,31457.286432160803
137,114,31457.286432160803
138,114,31457.286432160803
139,113,31328.320802005015
140,109,30818.858560794044
141,107,30567.9012345679
142,103,30073.349633251833
143,103,30073.349633251833
144,101,29829.683698296838
145,101,29829.683698296838
146,106,30443.349753694583
147,105,30319.41031941032
148,103,30073.349633251833
149,104,30196.07843137255
150,104,30196.07843137255
151,105,30319.41031941032
152,105,30319.41031941032
153,106,30443.349753694583
154,107,30567.9012345679
155,106,30443.349753694583
156,106,30443.349753694583
157,105,30319.41031941032
158,106,30443.349753694583
159,106,30443.349753694583
160,106,30443.349753694583
161,108,30693.069306930694
162,107,30567.9012345679
163,107,30567.9012345679
164,107,30567.9012345679
165,108,30693.069306930694
166,107,30567.9012345679
167,108,30693.069306930694
168,107,30567.9012345679
169,108,30693.069306930694
170,108,30693.069306930694
171,108,30693.069306930694
172,107,30567.9012345679
173,106,30443.349753694583
174,106,30443.349753694583
175,107,30567.9012345679
176,106,30443.349753694583
177,108,30693.069306930694
178,107,30567.9012345679
179,108,30693.069306930694
180,108,30693.069306930694
181,108,30693.069306930694
182,108,30693.069306930694
183,108,30693.069306930694
184,106,30443.349753694583
185,107,30567.9012345679
186,105,30319.41031941032
187,102,29951.219512195123
188,103,30073.349633251833
189,104,30196.07843137255
190,103,30073.349633251833
191,110,30945.273631840795
192,108,30693.069306930694
193,100,29708.73786407767
194,99,29588.37772397094
195,100,29708.73786407767
196,103,30073.349633251833
197,103,30073.349633251833
198,104,30196.07843137255
199,105,30319.41031941032
200,103,30073.349633251833
201,102,29951.219512195123
202,103,30073.349633251833
203,104,30196.07843137255
204,103,30073.349633251833
205,103,30073.349633251833
206,101,29829.683698296838
207,99,29588.37772397094
208,98,29468.599033816427
209,95,29112.709832134293
210,95,29112.709832134293
211,96,29230.76923076923
212,98,29468.599033816427
213,99,29588.37772397094
214,100,29708.73786407767
215,100,29708.73786407767
216,101,29829.683698296838
217,100,29708.73786407767
218,101,29829.683698296838
219,102,29951.219512195123
220,104,30196.07843137255
221,104,30196.07843137255
222,103,30073.349633251833
223,103,30073.349633251833
224,103,30073.349633251833
225,105,30319.41031941032
226,104,30196.07843137255
227,105,30319.41031941032
228,104,30196.07843137255
229,104,30196.07843137255
230,104,30196.07843137255
231,104,30196.07843137255
232,105,30319.41031941032
233,105,30319.41031941032
234,104,30196.07843137255
235,102,29951.219512195123
236,101,29829.683698296838
237,101,29829.683698296838
238,101,29829.683698296838
239,101,29829.683698296838
240,99,29588.37772397094
241,95,29112.709832134293
242,96,29230.76923076923
243,97,29349.397590361445
244,99,29588.37772397094
245,99,29588.37772397094
246,98,29468.599033816427
247,100,29708.73786407767
248,100,29708.73786407767
249,101,29829.683698296838
250,101,29829.683698296838
251,100,29708.73786407767
252,101,29829.683698296838
253,101,29829.683698296838
254,99,29588.37772397094
255,100,29708.73786407767
256,101,29829.683698296838
257,100,29708.73786407767
258,101,29829.683698296838
259,101,29829.683698296838
260,101,29829.683698296838
261,102,29951.219512195123
262,102,29951.219512195123
263,102,29951.219512195123
264,102,29951.219512195123
265,102,29951.219512195123
266,103,30073.349633251833
267,102,29951.219512195123
268,103,30073.349633251833
269,103,30073.349633251833
270,101,29829.683698296838
271,99,29588.37772397094
272,97,29349.397590361445
273,96,29230.76923076923
274,98,29468.599033816427
275,98,29468.599033816427
276,98,29468.599033816427
277,100,29708.73786407767
278,101,29829.683698296838
279,102,29951.219512195123
280,100,29708.73786407767
281,101,29829.683698296838
282,102,29951.219512195123
